"date","count","size"
"2016-08-25 00:00:00",88,1350536493599
"2016-08-26 00:00:00",127,975333421380
"2016-08-27 00:00:00",117,590287080168
"2016-08-28 00:00:00",102,516884103294
"2016-08-29 00:00:00",554,2551898356989
"2016-08-30 00:00:00",1092,1246635604842
"2016-08-31 00:00:00",568,2407797807054
"2016-09-01 00:00:00",220,1321494254333
"2016-09-02 00:00:00",143,3159299597802
"2016-09-03 00:00:00",203,1241421698225
"2016-09-04 00:00:00",164,1067417686533
"2016-09-05 00:00:00",241,766467898301
"2016-09-06 00:00:00",129,757125966088
"2016-09-07 00:00:00",622,493983558991
"2016-09-08 00:00:00",466,2008275048248
"2016-09-09 00:00:00",191,929567243293
"2016-09-10 00:00:00",138,845297129273
"2016-09-11 00:00:00",118,1050101346786
"2016-09-12 00:00:00",106,983555619012
"2016-09-13 00:00:00",128,723616621202
"2016-09-14 00:00:00",163,665092082340
"2016-09-15 00:00:00",132,855722903152
"2016-09-16 00:00:00",105,689551787089
"2016-09-17 00:00:00",194,4613787432244
"2016-09-18 00:00:00",155,1041122714630
"2016-09-19 00:00:00",192,3605892507074
"2016-09-20 00:00:00",93,1074002183040
"2016-09-21 00:00:00",115,858003602199
"2016-09-22 00:00:00",1623,1110426904254
"2016-09-23 00:00:00",125,1779910956940
"2016-09-24 00:00:00",91,916652226537
"2016-09-25 00:00:00",237,2297539377362
"2016-09-26 00:00:00",204,1840323301699
"2016-09-27 00:00:00",149,1557875102807
"2016-09-28 00:00:00",253,1051406813987
"2016-09-29 00:00:00",123,1666185642444
"2016-09-30 00:00:00",150,750714703003
"2016-10-01 00:00:00",343,2437652724975
"2016-10-02 00:00:00",110,949561763263
"2016-10-03 00:00:00",112,3437525032583
"2016-10-04 00:00:00",188,3383417368946
"2016-10-05 00:00:00",183,1770680326916
"2016-10-06 00:00:00",161,753963616146
"2016-10-07 00:00:00",102,524676966933
"2016-10-08 00:00:00",220,3457018239167
"2016-10-09 00:00:00",213,3788047217827
"2016-10-10 00:00:00",169,5620148147130
"2016-10-11 00:00:00",224,1055225835735
"2016-10-12 00:00:00",357,2152616526645
"2016-10-13 00:00:00",302,2664990062395
"2016-10-14 00:00:00",168,1201772996093
"2016-10-15 00:00:00",714,1507326172301
"2016-10-16 00:00:00",637,1446344875198
"2016-10-17 00:00:00",282,2685402927691
"2016-10-18 00:00:00",198,1026396411259
"2016-10-19 00:00:00",196,4703801175258
"2016-10-20 00:00:00",131,475138914386
"2016-10-21 00:00:00",162,2824001476956
"2016-10-22 00:00:00",182,2586559854063
"2016-10-23 00:00:00",359,2197538755998
"2016-10-24 00:00:00",518,4866042237526
"2016-10-25 00:00:00",271,1527623526637
"2016-10-26 00:00:00",221,2064115354882
"2016-10-27 00:00:00",238,1605903625449
"2016-10-28 00:00:00",548,9222178954152
"2016-10-29 00:00:00",405,7322278458005
"2016-10-30 00:00:00",218,1258739985553
"2016-10-31 00:00:00",258,1236173449643
"2016-11-01 00:00:00",844,1432843647252
"2016-11-02 00:00:00",254,2778188278746
"2016-11-03 00:00:00",198,2671142459843
"2016-11-04 00:00:00",181,1915139134197
"2016-11-05 00:00:00",188,2302089521158
"2016-11-06 00:00:00",174,1593478462464
"2016-11-07 00:00:00",110,2228821745691
"2016-11-08 00:00:00",143,1059796069694
"2016-11-09 00:00:00",145,1745033411495
"2016-11-10 00:00:00",251,1808377569111
"2016-11-11 00:00:00",211,1411596768522
"2016-11-12 00:00:00",184,1191875165837
"2016-11-13 00:00:00",225,1663061253451
"2016-11-14 00:00:00",158,2125659868372
"2016-11-15 00:00:00",165,801047782835
"2016-11-16 00:00:00",208,827374983110
"2016-11-17 00:00:00",122,2544467921383
"2016-11-18 00:00:00",118,1084690605482
"2016-11-19 00:00:00",144,1187239780318
"2016-11-20 00:00:00",155,1286411124138
"2016-11-21 00:00:00",183,1290082748806
"2016-11-22 00:00:00",611,2271632580331
"2016-11-23 00:00:00",574,5780822646476
"2016-11-24 00:00:00",145,1820706203280
"2016-11-25 00:00:00",198,1569554193534
"2016-11-26 00:00:00",293,2517412136448
"2016-11-27 00:00:00",725,24410783131157
"2016-11-28 00:00:00",525,17275988713357
"2016-11-29 00:00:00",156,1080035520025
"2016-11-30 00:00:00",129,1182735910361
"2016-12-01 00:00:00",132,1617221371637
"2016-12-02 00:00:00",283,24512345895378
"2016-12-03 00:00:00",265,26214731942594
"2016-12-04 00:00:00",372,43890070882730
"2016-12-05 00:00:00",376,44729102533760
"2016-12-06 00:00:00",361,43202392687916
"2016-12-07 00:00:00",571,44569596574164
"2016-12-08 00:00:00",398,43336109553067
"2016-12-09 00:00:00",388,43106430960719
"2016-12-10 00:00:00",293,32310277820267
"2016-12-11 00:00:00",95,1001437335196
"2016-12-12 00:00:00",389,1734057664635
"2016-12-13 00:00:00",176,1446497081623
"2016-12-14 00:00:00",101,807809174330
"2016-12-15 00:00:00",113,548722661856
